date,politician,mentions
2022-02-24,Зеленський Володимир,159
2022-02-24,Арестович Олексій,26
2022-02-24,Подоляк Михайло,19
2022-02-24,Усик Олександр,2
2022-02-24,Бутусов Юрій,2
2022-02-24,Верещук Ірина,3
2022-02-24,Кличко Віталій,13
2022-02-24,Залужний Валерій,14
2022-02-24,Кулеба Дмитро,9
2022-02-24,Безугла Мар'яна,4
2022-02-24,Стефанчук Руслан,2
2022-02-24,Терехов Ігор,4
2022-02-24,Умеров Рустем,1
2022-02-24,Гордон Дмитро,1
2022-02-24,Порошенко Петро,2
2022-02-24,Тимошенко Юлія,1
2022-02-24,Яценюк Арсеній,1
2022-02-25,Зеленський Володимир,179
2022-02-25,Кулеба Дмитро,6
2022-02-25,Кличко Віталій,14
2022-02-25,Арестович Олексій,8
2022-02-25,Кім Віталій,3
2022-02-25,Подоляк Михайло,20
2022-02-25,Стефанчук Руслан,4
2022-02-25,Терехов Ігор,4
2022-02-25,Арахамія Давид,1
2022-02-25,Карась Євген,1
2022-02-25,Порошенко Петро,5
2022-02-25,Усик Олександр,1
2022-02-25,Прокопенко Денис,1
2022-02-25,Залужний Валерій,1
2022-02-25,Притула Сергій,1
2022-02-26,Зеленський Володимир,89
2022-02-26,Карась Євген,2
2022-02-26,Арахамія Давид,3
2022-02-26,Кулеба Дмитро,8
2022-02-26,Бойко Юрій,4
2022-02-26,Арестович Олексій,5
2022-02-26,Кличко Віталій,15
2022-02-26,Усик Олександр,4
2022-02-26,Подоляк Михайло,13
2022-02-26,Верещук Ірина,6
2022-02-26,Ляшко Олег,5
2022-02-26,Тимошенко Юлія,1
2022-02-26,Безугла Мар'яна,1
2022-02-26,Порошенко Петро,3
2022-02-26,Яценюк Арсеній,1
2022-02-26,Стефанчук Руслан,1
2022-02-26,Малюк Василь,1
2022-02-27,Зеленський Володимир,119
2022-02-27,Усик Олександр,2
2022-02-27,Залужний Валерій,2
2022-02-27,Кулеба Дмитро,2
2022-02-27,Арестович Олексій,9
2022-02-27,Арахамія Давид,3
2022-02-27,Подоляк Михайло,2
2022-02-27,Кім Віталій,2
2022-02-27,Безугла Мар'яна,1
2022-02-27,Кличко Віталій,10
2022-02-27,Умеров Рустем,1
2022-02-27,Притула Сергій,1
2022-02-28,Подоляк Михайло,23
2022-02-28,Зеленський Володимир,81
2022-02-28,Арестович Олексій,8
2022-02-28,Берлінська Марія,2
2022-02-28,Арахамія Давид,12
2022-02-28,Терехов Ігор,1
2022-02-28,Залужний Валерій,2
2022-02-28,Верещук Ірина,4
2022-02-28,Умеров Рустем,6
2022-02-28,Кличко Віталій,5
2022-02-28,Усик Олександр,4
2022-02-28,Порошенко Петро,1
2022-02-28,Яценюк Арсеній,1
2022-02-28,Кулеба Дмитро,1
2022-03-01,Зеленський Володимир,107
2022-03-01,Подоляк Михайло,2
2022-03-01,Верещук Ірина,1
2022-03-01,Кулеба Дмитро,7
2022-03-01,Залужний Валерій,1
2022-03-01,Кличко Віталій,3
2022-03-01,Разумков Дмитро,3
2022-03-01,Терехов Ігор,3
2022-03-01,Арестович Олексій,3
2022-03-01,Кім Віталій,1
2022-03-01,Тимошенко Юлія,1
2022-03-01,Малюк Василь,1
2022-03-02,Зеленський Володимир,49
2022-03-02,Кулеба Дмитро,7
2022-03-02,Арестович Олексій,17
2022-03-02,Подоляк Михайло,2
2022-03-02,Арахамія Давид,3
2022-03-02,Терехов Ігор,1
2022-03-02,Бутусов Юрій,2
2022-03-02,Кім Віталій,1
2022-03-02,Ляшко Олег,1
2022-03-02,Порошенко Петро,3
2022-03-03,Подоляк Михайло,19
2022-03-03,Зеленський Володимир,106
2022-03-03,Кім Віталій,5
2022-03-03,Кулеба Дмитро,14
2022-03-03,Терехов Ігор,1
2022-03-03,Усик Олександр,5
2022-03-03,Залужний Валерій,1
2022-03-03,Арестович Олексій,7
2022-03-03,Арахамія Давид,5
2022-03-03,Свириденко Юлія,1
2022-03-03,Верещук Ірина,1
2022-03-03,Маркус Валерій,1
2022-03-03,Порошенко Петро,1
2022-03-03,Яценюк Арсеній,1
2022-03-04,Зеленський Володимир,130
2022-03-04,Подоляк Михайло,24
2022-03-04,Арахамія Давид,10
2022-03-04,Арестович Олексій,8
2022-03-04,Стефанчук Руслан,3
2022-03-04,Кулеба Дмитро,4
2022-03-04,Кім Віталій,2
2022-03-04,Усик Олександр,1
2022-03-04,Залужний Валерій,1
2022-03-04,Берлінська Марія,2
2022-03-04,Верещук Ірина,1
2022-03-04,Порошенко Петро,1
2022-03-05,Арестович Олексій,12
2022-03-05,Кулеба Дмитро,12
2022-03-05,Кім Віталій,10
2022-03-05,Зеленський Володимир,63
2022-03-05,Бутусов Юрій,1
2022-03-05,Подоляк Михайло,2
2022-03-05,Верещук Ірина,9
2022-03-05,Арахамія Давид,3
2022-03-05,Кличко Віталій,1
2022-03-06,Зеленський Володимир,65
2022-03-06,Арестович Олексій,13
2022-03-06,Арахамія Давид,18
2022-03-06,Кім Віталій,8
2022-03-06,Кулеба Дмитро,10
2022-03-06,Подоляк Михайло,6
2022-03-06,Терехов Ігор,2
2022-03-06,Бутусов Юрій,4
2022-03-06,Верещук Ірина,3
2022-03-06,Ляшко Олег,1
2022-03-06,Кличко Віталій,1
2022-03-06,Порошенко Петро,1
2022-03-07,Арестович Олексій,8
2022-03-07,Подоляк Михайло,18
2022-03-07,Кулеба Дмитро,12
2022-03-07,Зеленський Володимир,44
2022-03-07,Кім Віталій,6
2022-03-07,Бойко Юрій,4
2022-03-07,Верещук Ірина,8
2022-03-07,Кличко Віталій,2
2022-03-07,Порошенко Петро,1
2022-03-07,Арахамія Давид,2
2022-03-07,Карась Євген,1
2022-03-08,Зеленський Володимир,65
2022-03-08,Арестович Олексій,19
2022-03-08,Арахамія Давид,5
2022-03-08,Кулеба Дмитро,4
2022-03-08,Кім Віталій,5
2022-03-08,Кличко Віталій,1
2022-03-08,Подоляк Михайло,7
2022-03-08,Верещук Ірина,6
2022-03-08,Усик Олександр,2
2022-03-08,Карась Євген,1
2022-03-08,Тимошенко Юлія,1
2022-03-08,Порошенко Петро,6
2022-03-08,Терехов Ігор,1
2022-03-09,Зеленський Володимир,69
2022-03-09,Кім Віталій,3
2022-03-09,Кулеба Дмитро,15
2022-03-09,Подоляк Михайло,6
2022-03-09,Гетманцев Данило,3
2022-03-09,Тимошенко Юлія,3
2022-03-09,Терехов Ігор,1
2022-03-09,Верещук Ірина,5
2022-03-09,Арестович Олексій,10
2022-03-09,Залужний Валерій,1
2022-03-09,Порошенко Петро,2
2022-03-09,Усик Олександр,1
2022-03-09,Кличко Віталій,1
2022-03-09,Арахамія Давид,1
2022-03-10,Вілкул Олександр,3
2022-03-10,Зеленський Володимир,58
2022-03-10,Терехов Ігор,2
2022-03-10,Кім Віталій,3
2022-03-10,Кулеба Дмитро,48
2022-03-10,Верещук Ірина,6
2022-03-10,Подоляк Михайло,2
2022-03-10,Арестович Олексій,7
2022-03-10,Залужний Валерій,2
2022-03-10,Кличко Віталій,2
2022-03-10,Порошенко Петро,1
2022-03-10,Берлінська Марія,1
2022-03-11,Зеленський Володимир,22
2022-03-11,Буданов Кирило,2
2022-03-11,Верещук Ірина,6
2022-03-11,Арестович Олексій,8
2022-03-11,Кулеба Дмитро,5
2022-03-11,Кім Віталій,7
2022-03-11,Подоляк Михайло,4
2022-03-11,Терехов Ігор,15
2022-03-11,Порошенко Петро,5
2022-03-11,Ляшко Олег,2
2022-03-11,Залужний Валерій,1
2022-03-11,Кличко Віталій,1
2022-03-11,Умеров Рустем,1
2022-03-12,Арестович Олексій,11
2022-03-12,Зеленський Володимир,103
2022-03-12,Залужний Валерій,2
2022-03-12,Порошенко Петро,8
2022-03-12,Верещук Ірина,6
2022-03-12,Усик Олександр,3
2022-03-12,Кулеба Дмитро,5
2022-03-12,Подоляк Михайло,15
2022-03-12,Кім Віталій,2
2022-03-12,Стефанчук Руслан,1
2022-03-12,Тимошенко Юлія,2
2022-03-12,Арахамія Давид,5
2022-03-13,Подоляк Михайло,19
2022-03-13,Зеленський Володимир,48
2022-03-13,Арестович Олексій,19
2022-03-13,Ляшко Олег,2
2022-03-13,Верещук Ірина,8
2022-03-13,Залужний Валерій,5
2022-03-13,Кулеба Дмитро,5
2022-03-13,Арахамія Давид,4
2022-03-13,Кім Віталій,6
2022-03-13,Стерненко Сергій,1
2022-03-13,Умеров Рустем,1
2022-03-13,Порошенко Петро,1
2022-03-14,Зеленський Володимир,39
2022-03-14,Арестович Олексій,21
2022-03-14,Верещук Ірина,6
2022-03-14,Порошенко Петро,8
2022-03-14,Подоляк Михайло,13
2022-03-14,Терехов Ігор,2
2022-03-14,Кім Віталій,4
2022-03-14,Кулеба Дмитро,5
2022-03-14,Залужний Валерій,1
2022-03-14,Арахамія Давид,3
2022-03-14,Разумков Дмитро,1
2022-03-14,Гордон Дмитро,1
2022-03-15,Зеленський Володимир,81
2022-03-15,Верещук Ірина,8
2022-03-15,Подоляк Михайло,12
2022-03-15,Кличко Віталій,9
2022-03-15,Арахамія Давид,3
2022-03-15,Арестович Олексій,10
2022-03-15,Кулеба Дмитро,1
2022-03-15,Кім Віталій,1
2022-03-15,Залужний Валерій,1
2022-03-15,Тимошенко Юлія,1
2022-03-15,Порошенко Петро,2
2022-03-15,Умеров Рустем,1
2022-03-16,Зеленський Володимир,96
2022-03-16,Верещук Ірина,5
2022-03-16,Подоляк Михайло,12
2022-03-16,Арестович Олексій,5
2022-03-16,Кулеба Дмитро,2
2022-03-16,Кім Віталій,2
2022-03-16,Арахамія Давид,1
2022-03-16,Малюк Василь,6
2022-03-16,Тимошенко Юлія,2
2022-03-16,Берлінська Марія,1
2022-03-16,Кличко Віталій,2
2022-03-16,Бутусов Юрій,1
2022-03-17,Зеленський Володимир,57
2022-03-17,Верещук Ірина,4
2022-03-17,Арестович Олексій,12
2022-03-17,Кім Віталій,2
2022-03-17,Тимошенко Юлія,1
2022-03-17,Подоляк Михайло,19
2022-03-17,Кулеба Дмитро,2
2022-03-17,Берлінська Марія,3
2022-03-17,Гетманцев Данило,1
2022-03-17,Притула Сергій,7
2022-03-17,Кличко Віталій,1
2022-03-17,Яценюк Арсеній,1
2022-03-18,Зеленський Володимир,40
2022-03-18,Подоляк Михайло,7
2022-03-18,Арестович Олексій,15
2022-03-18,Гордон Дмитро,1
2022-03-18,Кличко Віталій,5
2022-03-18,Стефанчук Руслан,1
2022-03-18,Верещук Ірина,5
2022-03-18,Кулеба Дмитро,2
2022-03-18,Порошенко Петро,1
2022-03-19,Арестович Олексій,10
2022-03-19,Кім Віталій,6
2022-03-19,Верещук Ірина,8
2022-03-19,Зеленський Володимир,21
2022-03-19,Подоляк Михайло,10
2022-03-19,Кулеба Дмитро,2
2022-03-19,Залужний Валерій,3
2022-03-19,Кличко Віталій,1
2022-03-19,Порошенко Петро,1
2022-03-19,Берлінська Марія,1
2022-03-20,Зеленський Володимир,83
2022-03-20,Кличко Віталій,3
2022-03-20,Верещук Ірина,7
2022-03-20,Арестович Олексій,8
2022-03-20,Вілкул Олександр,4
2022-03-20,Подоляк Михайло,7
2022-03-20,Береза Борислав,1
2022-03-20,Арахамія Давид,2
2022-03-20,Порошенко Петро,1
2022-03-20,Залужний Валерій,15
2022-03-21,Зеленський Володимир,49
2022-03-21,Верещук Ірина,5
2022-03-21,Подоляк Михайло,3
2022-03-21,Арестович Олексій,16
2022-03-21,Кулеба Дмитро,4
2022-03-21,Кім Віталій,2
2022-03-21,Железняк Ярослав,2
2022-03-21,Кличко Віталій,5
2022-03-21,Стефанчук Руслан,2
2022-03-21,Прокопенко Денис,1
2022-03-21,Бутусов Юрій,4
2022-03-21,Арахамія Давид,3
2022-03-21,Порошенко Петро,2
2022-03-21,Притула Сергій,1
2022-03-22,Арестович Олексій,11
2022-03-22,Зеленський Володимир,33
2022-03-22,Вілкул Олександр,1
2022-03-22,Верещук Ірина,8
2022-03-22,Подоляк Михайло,4
2022-03-22,Гордон Дмитро,2
2022-03-22,Залужний Валерій,1
2022-03-22,Кім Віталій,1
2022-03-22,Порошенко Петро,2
2022-03-22,Портніков Віталій,1
2022-03-23,Арестович Олексій,14
2022-03-23,Зеленський Володимир,32
2022-03-23,Тимошенко Юлія,1
2022-03-23,Верещук Ірина,10
2022-03-23,Кулеба Дмитро,1
2022-03-23,Кличко Віталій,1
2022-03-23,Терехов Ігор,1
2022-03-23,Кім Віталій,1
2022-03-23,Подоляк Михайло,9
2022-03-23,Порошенко Петро,1
2022-03-23,Чмут Тарас,1
2022-03-24,Зеленський Володимир,49
2022-03-24,Верещук Ірина,8
2022-03-24,Арестович Олексій,8
2022-03-24,Кім Віталій,2
2022-03-24,Кличко Віталій,1
2022-03-24,Терехов Ігор,1
2022-03-24,Кулеба Дмитро,4
2022-03-24,Подоляк Михайло,4
2022-03-24,Маркус Валерій,1
2022-03-24,Притула Сергій,1
2022-03-25,Подоляк Михайло,5
2022-03-25,Кулеба Дмитро,3
2022-03-25,Зеленський Володимир,12
2022-03-25,Верещук Ірина,5
2022-03-25,Кім Віталій,2
2022-03-25,Буданов Кирило,2
2022-03-25,Усик Олександр,2
2022-03-25,Кличко Віталій,1
2022-03-25,Арестович Олексій,7
2022-03-25,Кривонос Сергій,1
2022-03-25,Железняк Ярослав,1
2022-03-26,Арестович Олексій,10
2022-03-26,Зеленський Володимир,26
2022-03-26,Кім Віталій,2
2022-03-26,Верещук Ірина,6
2022-03-26,Подоляк Михайло,2
2022-03-26,Кулеба Дмитро,7
2022-03-26,Кличко Віталій,1
2022-03-26,Свириденко Юлія,1
2022-03-27,Арестович Олексій,15
2022-03-27,Подоляк Михайло,9
2022-03-27,Зеленський Володимир,53
2022-03-27,Арахамія Давид,6
2022-03-27,Верещук Ірина,2
2022-03-27,Усик Олександр,4
2022-03-27,Кулеба Дмитро,2
2022-03-27,Порошенко Петро,1
2022-03-27,Буданов Кирило,1
2022-03-27,Залужний Валерій,1
2022-03-28,Зеленський Володимир,59
2022-03-28,Подоляк Михайло,4
2022-03-28,Кулеба Дмитро,3
2022-03-28,Умеров Рустем,10
2022-03-28,Арахамія Давид,4
2022-03-28,Верещук Ірина,5
2022-03-28,Кім Віталій,2
2022-03-28,Свириденко Юлія,2
2022-03-28,Терехов Ігор,2
2022-03-28,Буданов Кирило,1
2022-03-28,Залужний Валерій,1
2022-03-28,Арестович Олексій,1
2022-03-28,Кротевич Богдан,1
2022-03-29,Бутусов Юрій,6
2022-03-29,Зеленський Володимир,47
2022-03-29,Подоляк Михайло,19
2022-03-29,Арестович Олексій,5
2022-03-29,Верещук Ірина,5
2022-03-29,Кім Віталій,6
2022-03-29,Арахамія Давид,13
2022-03-29,Кулеба Дмитро,3
2022-03-29,Портніков Віталій,1
2022-03-29,Порошенко Петро,1
2022-03-29,Притула Сергій,6
2022-03-30,Арестович Олексій,28
2022-03-30,Зеленський Володимир,29
2022-03-30,Подоляк Михайло,7
2022-03-30,Кличко Віталій,1
2022-03-30,Верещук Ірина,4
2022-03-30,Кулеба Дмитро,4
2022-03-30,Арахамія Давид,5
2022-03-30,Усик Олександр,3
2022-03-31,Арестович Олексій,12
2022-03-31,Зеленський Володимир,34
2022-03-31,Верещук Ірина,6
2022-03-31,Кім Віталій,1
2022-03-31,Кулеба Дмитро,2
2022-03-31,Подоляк Михайло,1
2022-03-31,Арахамія Давид,1
2022-04-01,Арестович Олексій,13
2022-04-01,Зеленський Володимир,17
2022-04-01,Верещук Ірина,1
2022-04-01,Кулеба Дмитро,2
2022-04-01,Терехов Ігор,3
2022-04-01,Кім Віталій,2
2022-04-01,Подоляк Михайло,7
2022-04-01,Тимошенко Юлія,5
2022-04-01,Усик Олександр,1
2022-04-01,Вілкул Олександр,1
2022-04-01,Прокопенко Денис,2
2022-04-01,Стефанчук Руслан,2
2022-04-01,Бутусов Юрій,1
2022-04-01,Порошенко Петро,1
2022-04-02,Арахамія Давид,3
2022-04-02,Арестович Олексій,7
2022-04-02,Верещук Ірина,2
2022-04-02,Зеленський Володимир,27
2022-04-02,Подоляк Михайло,5
2022-04-02,Кличко Віталій,1
2022-04-02,Кім Віталій,3
2022-04-02,Вілкул Олександр,3
2022-04-03,Арестович Олексій,15
2022-04-03,Подоляк Михайло,4
2022-04-03,Кім Віталій,2
2022-04-03,Зеленський Володимир,33
2022-04-03,Верещук Ірина,3
2022-04-03,Тимошенко Юлія,1
2022-04-03,Кулеба Дмитро,2
2022-04-03,Свириденко Юлія,2
2022-04-03,Кличко Віталій,2
2022-04-03,Порошенко Петро,1
2022-04-04,Зеленський Володимир,52
2022-04-04,Арестович Олексій,16
2022-04-04,Кім Віталій,1
2022-04-04,Верещук Ірина,3
2022-04-04,Арахамія Давид,3
2022-04-04,Умеров Рустем,1
2022-04-04,Подоляк Михайло,1
2022-04-04,Кулеба Дмитро,2
2022-04-04,Порошенко Петро,2
2022-04-04,Гордон Дмитро,1
2022-04-04,Карась Євген,1
2022-04-05,Зеленський Володимир,70
2022-04-05,Арестович Олексій,15
2022-04-05,Верещук Ірина,2
2022-04-05,Подоляк Михайло,3
2022-04-05,Кім Віталій,5
2022-04-05,Разумков Дмитро,3
2022-04-05,Кулеба Дмитро,1
2022-04-05,Терехов Ігор,1
2022-04-06,Зеленський Володимир,16
2022-04-06,Вілкул Олександр,3
2022-04-06,Верещук Ірина,4
2022-04-06,Арестович Олексій,4
2022-04-06,Кличко Віталій,3
2022-04-06,Гордон Дмитро,2
2022-04-06,Кулеба Дмитро,3
2022-04-06,Усик Олександр,5
2022-04-06,Тимошенко Юлія,1
2022-04-06,Берлінська Марія,1
2022-04-07,Гордон Дмитро,1
2022-04-07,Зеленський Володимир,41
2022-04-07,Порошенко Петро,5
2022-04-07,Вілкул Олександр,1
2022-04-07,Арестович Олексій,16
2022-04-07,Кім Віталій,3
2022-04-07,Кулеба Дмитро,21
2022-04-07,Подоляк Михайло,3
2022-04-07,Тимошенко Юлія,2
2022-04-07,Терехов Ігор,2
2022-04-07,Берлінська Марія,2
2022-04-07,Железняк Ярослав,1
2022-04-07,Арахамія Давид,1
2022-04-07,Разумков Дмитро,1
2022-04-08,Арестович Олексій,20
2022-04-08,Зеленський Володимир,18
2022-04-08,Вілкул Олександр,1
2022-04-08,Берлінська Марія,2
2022-04-08,Подоляк Михайло,6
2022-04-08,Верещук Ірина,1
2022-04-08,Іллєнко Андрій,1
2022-04-08,Кім Віталій,2
2022-04-08,Буданов Кирило,1
2022-04-08,Порошенко Петро,2
2022-04-08,Безугла Мар'яна,1
2022-04-09,Зеленський Володимир,50
2022-04-09,Подоляк Михайло,4
2022-04-09,Арахамія Давид,2
2022-04-09,Арестович Олексій,4
2022-04-09,Верещук Ірина,5
2022-04-09,Терехов Ігор,1
2022-04-09,Кличко Віталій,1
2022-04-09,Береза Борислав,2
2022-04-09,Буданов Кирило,2
2022-04-10,Зеленський Володимир,21
2022-04-10,Кім Віталій,3
2022-04-10,Арестович Олексій,12
2022-04-10,Подоляк Михайло,2
2022-04-10,Верещук Ірина,2
2022-04-10,Залужний Валерій,1
2022-04-10,Свириденко Юлія,3
2022-04-10,Тимошенко Юлія,1
2022-04-10,Арахамія Давид,1
2022-04-10,Кулеба Дмитро,2
2022-04-10,Береза Борислав,1
2022-04-11,Зеленський Володимир,28
2022-04-11,Подоляк Михайло,6
2022-04-11,Арестович Олексій,11
2022-04-11,Терехов Ігор,1
2022-04-11,Залужний Валерій,9
2022-04-11,Верещук Ірина,1
2022-04-11,Кулеба Дмитро,2
2022-04-11,Кім Віталій,1
2022-04-11,Береза Борислав,1
2022-04-11,Умеров Рустем,1
2022-04-11,Порошенко Петро,1
2022-04-11,Яценюк Арсеній,1
2022-04-11,Білецький Андрій,2
2022-04-11,Свириденко Юлія,1
2022-04-12,Зеленський Володимир,54
2022-04-12,Буданов Кирило,7
2022-04-12,Арестович Олексій,9
2022-04-12,Подоляк Михайло,7
2022-04-12,Порошенко Петро,2
2022-04-12,Верещук Ірина,1
2022-04-12,Бутусов Юрій,3
2022-04-12,Кім Віталій,3
2022-04-12,Вілкул Олександр,1
2022-04-12,Арахамія Давид,1
2022-04-12,Тимошенко Юлія,1
2022-04-12,Залужний Валерій,1
2022-04-13,Зеленський Володимир,51
2022-04-13,Арестович Олексій,9
2022-04-13,Терехов Ігор,1
2022-04-13,Маркус Валерій,7
2022-04-13,Прокопенко Денис,3
2022-04-13,Верещук Ірина,1
2022-04-13,Подоляк Михайло,1
2022-04-13,Стефанчук Руслан,2
2022-04-13,Порошенко Петро,2
2022-04-13,Кривонос Сергій,1
2022-04-14,Арестович Олексій,7
2022-04-14,Зеленський Володимир,21
2022-04-14,Верещук Ірина,3
2022-04-14,Ляшко Олег,1
2022-04-14,Подоляк Михайло,1
2022-04-14,Арахамія Давид,2
2022-04-14,Железняк Ярослав,2
2022-04-14,Кулеба Дмитро,1
2022-04-14,Стефанчук Руслан,1
2022-04-14,Кличко Віталій,1
2022-04-14,Кім Віталій,1
2022-04-14,Порошенко Петро,5
2022-04-14,Стерненко Сергій,1
2022-04-15,Арестович Олексій,8
2022-04-15,Зеленський Володимир,33
2022-04-15,Подоляк Михайло,14
2022-04-15,Кім Віталій,2
2022-04-15,Кличко Віталій,2
2022-04-15,Стефанчук Руслан,2
2022-04-15,Безугла Мар'яна,1
2022-04-15,Порошенко Петро,1
2022-04-15,Гордон Дмитро,1
2022-04-15,Берлінська Марія,1
2022-04-16,Кличко Віталій,2
2022-04-16,Зеленський Володимир,38
2022-04-16,Арестович Олексій,9
2022-04-16,Подоляк Михайло,2
2022-04-17,Зеленський Володимир,32
2022-04-17,Буданов Кирило,2
2022-04-17,Арестович Олексій,11
2022-04-17,Верещук Ірина,1
2022-04-17,Кім Віталій,2
2022-04-17,Кулеба Дмитро,3
2022-04-17,Подоляк Михайло,1
2022-04-18,Арестович Олексій,10
2022-04-18,Кім Віталій,1
2022-04-18,Подоляк Михайло,6
2022-04-18,Прокопенко Денис,4
2022-04-18,Зеленський Володимир,30
2022-04-18,Залужний Валерій,1
2022-04-18,Буданов Кирило,3
2022-04-18,Кривонос Сергій,7
2022-04-18,Притула Сергій,1
2022-04-18,Безугла Мар'яна,1
2022-04-19,Арестович Олексій,15
2022-04-19,Зеленський Володимир,24
2022-04-19,Тимошенко Юлія,3
2022-04-19,Вілкул Олександр,2
2022-04-19,Подоляк Михайло,3
2022-04-19,Бойко Юрій,1
2022-04-19,Верещук Ірина,2
2022-04-19,Порошенко Петро,4
2022-04-19,Кулеба Дмитро,2
2022-04-19,Кличко Віталій,1
2022-04-19,Прокопенко Денис,1
2022-04-20,Арестович Олексій,11
2022-04-20,Зеленський Володимир,52
2022-04-20,Арахамія Давид,3
2022-04-20,Подоляк Михайло,9
2022-04-20,Верещук Ірина,5
2022-04-20,Бутусов Юрій,2
2022-04-20,Кулеба Дмитро,1
2022-04-20,Порошенко Петро,1
2022-04-20,Умеров Рустем,1
2022-04-21,Зеленський Володимир,41
2022-04-21,Арестович Олексій,25
2022-04-21,Подоляк Михайло,9
2022-04-21,Верещук Ірина,7
2022-04-21,Бойко Юрій,3
2022-04-21,Тимошенко Юлія,1
2022-04-21,Железняк Ярослав,2
2022-04-21,Порошенко Петро,5
2022-04-21,Притула Сергій,1
2022-04-22,Зеленський Володимир,24
2022-04-22,Арестович Олексій,7
2022-04-22,Подоляк Михайло,2
2022-04-22,Верещук Ірина,2
2022-04-22,Залужний Валерій,3
2022-04-22,Свириденко Юлія,2
2022-04-22,Кличко Віталій,1
2022-04-22,Кулеба Дмитро,2
2022-04-22,Мураєв Євген,1
2022-04-23,Арестович Олексій,13
2022-04-23,Зеленський Володимир,73
2022-04-23,Тимошенко Юлія,3
2022-04-23,Кім Віталій,2
2022-04-23,Кулеба Дмитро,3
2022-04-23,Подоляк Михайло,1
2022-04-23,Залужний Валерій,2
2022-04-23,Арахамія Давид,3
2022-04-23,Верещук Ірина,2
2022-04-24,Арестович Олексій,37
2022-04-24,Зеленський Володимир,21
2022-04-24,Вілкул Олександр,3
2022-04-24,Подоляк Михайло,3
2022-04-24,Залужний Валерій,1
2022-04-25,Арестович Олексій,11
2022-04-25,Подоляк Михайло,6
2022-04-25,Зеленський Володимир,26
2022-04-25,Вілкул Олександр,2
2022-04-25,Тимошенко Юлія,2
2022-04-25,Верещук Ірина,6
2022-04-25,Стефанчук Руслан,5
2022-04-25,Кім Віталій,1
2022-04-25,Кличко Віталій,1
2022-04-26,Арестович Олексій,11
2022-04-26,Кулеба Дмитро,3
2022-04-26,Зеленський Володимир,18
2022-04-26,Чмут Тарас,1
2022-04-26,Свириденко Юлія,1
2022-04-26,Подоляк Михайло,2
2022-04-26,Тимошенко Юлія,2
2022-04-26,Кім Віталій,1
2022-04-26,Кличко Віталій,1
2022-04-26,Усик Олександр,1
2022-04-27,Подоляк Михайло,10
2022-04-27,Арестович Олексій,13
2022-04-27,Зеленський Володимир,17
2022-04-27,Тимошенко Юлія,2
2022-04-27,Кулеба Дмитро,1
2022-04-27,Кличко Віталій,1
2022-04-27,Кім Віталій,1
2022-04-28,Зеленський Володимир,17
2022-04-28,Кличко Віталій,4
2022-04-28,Арестович Олексій,8
2022-04-28,Подоляк Михайло,9
2022-04-28,Тимошенко Юлія,2
2022-04-28,Верещук Ірина,2
2022-04-28,Кулеба Дмитро,1
2022-04-28,Кім Віталій,1
2022-04-28,Ляшко Олег,2
2022-04-29,Арестович Олексій,6
2022-04-29,Зеленський Володимир,25
2022-04-29,Тимошенко Юлія,2
2022-04-29,Свириденко Юлія,3
2022-04-29,Кличко Віталій,2
2022-04-29,Подоляк Михайло,4
2022-04-29,Ляшко Олег,2
2022-04-29,Порошенко Петро,2
2022-04-30,Зеленський Володимир,17
2022-04-30,Арестович Олексій,5
2022-04-30,Кулеба Дмитро,2
2022-04-30,Верещук Ірина,5
2022-04-30,Тимошенко Юлія,1
2022-04-30,Кім Віталій,1
2022-04-30,Порошенко Петро,1
2022-05-01,Арестович Олексій,10
2022-05-01,Зеленський Володимир,19
2022-05-01,Кім Віталій,2
2022-05-01,Арахамія Давид,1
2022-05-01,Верещук Ірина,2
2022-05-01,Порошенко Петро,1
2022-05-01,Вілкул Олександр,1
2022-05-02,Залужний Валерій,10
2022-05-02,Буданов Кирило,5
2022-05-02,Арестович Олексій,12
2022-05-02,Зеленський Володимир,34
2022-05-02,Кім Віталій,3
2022-05-02,Бутусов Юрій,1
2022-05-02,Тимошенко Юлія,4
2022-05-02,Терехов Ігор,1
2022-05-02,Стефанчук Руслан,1
2022-05-02,Порошенко Петро,1
2022-05-02,Кулеба Дмитро,1
2022-05-02,Арахамія Давид,1
2022-05-02,Подоляк Михайло,2
2022-05-03,Арестович Олексій,2
2022-05-03,Зеленський Володимир,21
2022-05-03,Тимошенко Юлія,1
2022-05-03,Подоляк Михайло,1
2022-05-03,Железняк Ярослав,6
2022-05-03,Верещук Ірина,5
2022-05-03,Кім Віталій,1
2022-05-03,Стефанчук Руслан,1
2022-05-03,Малюк Василь,1
2022-05-03,Мураєв Євген,1
2022-05-04,Арестович Олексій,14
2022-05-04,Прокопенко Денис,5
2022-05-04,Зеленський Володимир,18
2022-05-04,Арахамія Давид,3
2022-05-04,Верещук Ірина,4
2022-05-04,Железняк Ярослав,1
2022-05-04,Тимошенко Юлія,1
2022-05-04,Вілкул Олександр,1
2022-05-04,Кім Віталій,1
2022-05-04,Подоляк Михайло,2
2022-05-04,Залужний Валерій,1
2022-05-04,Порошенко Петро,2
2022-05-04,Ляшко Олег,1
2022-05-04,Кривонос Сергій,1
2022-05-05,Арестович Олексій,14
2022-05-05,Зеленський Володимир,13
2022-05-05,Кулеба Дмитро,2
2022-05-05,Тимошенко Юлія,1
2022-05-05,Залужний Валерій,2
